drug_name,generation,mechanism,smiles,2ITY_WT_vina_aff,2ITY_WT_vina_aff_std,4WKQ_WT_vina_aff,4WKQ_WT_vina_aff_std,4HJO_inactive_vina_aff,4HJO_inactive_vina_aff_std,4I23_WT_vina_aff,4I23_WT_vina_aff_std,4G5J_T790M_vina_aff,4G5J_T790M_vina_aff_std,4ZAU_T790M_vina_aff,4ZAU_T790M_vina_aff_std,5D41_allosteric_vina_aff,5D41_allosteric_vina_aff_std,T790M_vina_avg,WT_vina_avg,vina_selectivity,T790M_vina_cross_pdb_diff,WT_vina_cross_pdb_diff,allosteric_vina_aff
Gefitinib_1G,1G,reversible,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,-7.624,0.02333809475228557,-8.148666666666665,0.1242586907311607,-8.866000000000001,0.06696765388354776,-8.156,0.01256980508997701,-6.332333333333334,0.10315145283621667,-7.511333333333333,0.03348963355361717,-7.932666666666667,0.1331073084227737,-6.921833333333334,-8.198666666666666,-1.2768333333333324,1.1789999999999994,0.5246666666666657,-7.932666666666667
Erlotinib_1G,1G,reversible,COc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,-6.503,0.04598550496261477,-7.3500000000000005,0.0692290882986816,-7.9753333333333325,0.018208667044996796,-7.07,0.020848661028149106,-5.920333333333333,0.14533715591303165,-6.595,0.028437065014988362,-7.783666666666666,0.015173075568987882,-6.257666666666666,-7.224583333333333,-0.9669166666666671,0.674666666666667,0.8470000000000004,-7.783666666666666
Afatinib_2G,2G,covalent (pan-ErbB),CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,-7.676000000000001,0.027178422814186178,-7.798333333333333,0.03164736253711434,-9.028666666666666,0.06418895716727482,-7.726333333333334,0.16603078697103787,-6.567666666666668,0.060499770431153115,-7.8629999999999995,0.20295812375955774,-7.955333333333333,0.007760297817881926,-7.215333333333334,-8.057333333333334,-0.8420000000000005,1.295333333333332,0.12233333333333185,-7.955333333333333
Dacomitinib_2G,2G,covalent (pan-ErbB),COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,-8.363666666666667,0.041771867194188225,-8.18,0.009899494936612041,-9.923333333333334,0.061298903379714574,-8.247333333333332,0.04089281382128468,-7.191333333333333,0.03857748335781147,-8.131,0.017682382946500038,-8.291000000000002,0.4145969930748013,-7.6611666666666665,-8.678583333333332,-1.0174166666666657,0.9396666666666675,0.1836666666666673,-8.291000000000002
Osimertinib_3G,3G,covalent (T790M selective),COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C/CN(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,-7.586000000000001,0.014445299120013702,-7.477333333333334,0.018856180831640864,-8.371333333333332,0.1491449704891927,-8.095,0.12376052143824656,-5.546666666666667,0.023299976156401517,-7.710666666666666,0.025037749277618773,-6.703666666666667,0.6783589675746086,-6.628666666666666,-7.882416666666668,-1.253750000000002,2.163999999999999,0.10866666666666713,-6.703666666666667
EAI045_4G,4G,allosteric (C797S bypass),COc1cc(C2CC(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc(OC)c1O,-8.351333333333333,0.011440668201153874,-8.254666666666667,0.010338708279514013,-8.803333333333335,0.004921607686743945,-7.975666666666666,0.008178562764256856,-6.457666666666667,0.011440668201153668,-7.727666666666667,0.004784233364802533,-8.507333333333333,0.012498888839501994,-7.092666666666667,-8.346250000000001,-1.2535833333333342,1.2699999999999996,0.09666666666666579,-8.507333333333333
BDTX1535_4G,4G,non-covalent (C797S bypass),CN1CCN(c2ccc(-c3cc4cnc(Nc5ccc(N6CCN(C)CC6)c(C)c5)nc4s3)cn2)CC1,-7.281666666666666,0.213239041661908,-6.7940000000000005,0.03188521078284848,-9.436333333333332,0.00953356643071666,-6.113333333333334,0.46955676499817967,-6.307666666666667,0.003681787005729217,-7.886333333333333,0.018785337071473566,9.105,0.03293427798915097,-7.0969999999999995,-7.406333333333333,-0.3093333333333339,1.578666666666666,0.4876666666666658,9.105
